Date,Merchant,Category,Description,Amount
01-05-2026,Salary,Income,Salary transaction,44694
11-03-2026,Swiggy,Food,Swiggy transaction,-963.31
01-06-2026,Netflix,Entertainment,Netflix transaction,-4243.99
01-05-2026,Myntra,Shopping,Myntra transaction,-3395.39
17-03-2026,Amazon,Shopping,Amazon transaction,-425.73
05-02-2026,Netflix,Entertainment,Netflix transaction,-1871.41
08-02-2026,Salary,Income,Salary transaction,73608
09-01-2026,Myntra,Shopping,Myntra transaction,-2728.61
06-01-2026,Myntra,Shopping,Myntra transaction,-1031.39
25-05-2026,Swiggy,Food,Swiggy transaction,-2331.76
27-01-2026,Salary,Income,Salary transaction,33721
18-03-2026,Salary,Income,Salary transaction,57649
25-03-2026,Uber,Travel,Uber transaction,-4698.58
21-05-2026,Flipkart,Shopping,Flipkart transaction,-1843.73
11-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-661.78
03-06-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2994.89
14-05-2026,Fuel Station,Fuel,Fuel Station transaction,-2367.93
30-06-2026,Pharmacy,Healthcare,Pharmacy transaction,-328.13
30-04-2026,Flipkart,Shopping,Flipkart transaction,-3864.41
01-04-2026,Fuel Station,Fuel,Fuel Station transaction,-90.74
04-03-2026,Electricity Board,Bills,Electricity Board transaction,-2682.72
18-02-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1010.68
26-02-2026,Myntra,Shopping,Myntra transaction,-139.14
17-06-2026,Fuel Station,Fuel,Fuel Station transaction,-4595.47
28-03-2026,Swiggy,Food,Swiggy transaction,-1925.02
24-06-2026,Netflix,Entertainment,Netflix transaction,-3461.55
25-02-2026,Zomato,Food,Zomato transaction,-2194.89
19-06-2026,Zomato,Food,Zomato transaction,-468.88
24-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-2505.9
25-06-2026,Amazon,Shopping,Amazon transaction,-3039.31
29-05-2026,Electricity Board,Bills,Electricity Board transaction,-3170.03
03-01-2026,Netflix,Entertainment,Netflix transaction,-1929.5
10-01-2026,Uber,Travel,Uber transaction,-2304.51
27-06-2026,Myntra,Shopping,Myntra transaction,-860.88
09-02-2026,Netflix,Entertainment,Netflix transaction,-2434.35
08-04-2026,Swiggy,Food,Swiggy transaction,-1643.89
06-04-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-3293.67
11-03-2026,Flipkart,Shopping,Flipkart transaction,-4020.17
26-04-2026,Flipkart,Shopping,Flipkart transaction,-1829.33
15-06-2026,Fuel Station,Fuel,Fuel Station transaction,-1992.39
30-05-2026,Myntra,Shopping,Myntra transaction,-3891.73
08-01-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-2216.14
31-03-2026,Amazon,Shopping,Amazon transaction,-953.87
12-03-2026,Fuel Station,Fuel,Fuel Station transaction,-4940.44
25-01-2026,Amazon,Shopping,Amazon transaction,-1761.65
11-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-1753.82
29-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-2222.97
08-02-2026,Flipkart,Shopping,Flipkart transaction,-3491.77
16-06-2026,Fuel Station,Fuel,Fuel Station transaction,-3795.64
28-06-2026,Fuel Station,Fuel,Fuel Station transaction,-4668.66
03-03-2026,Salary,Income,Salary transaction,65697
02-04-2026,Electricity Board,Bills,Electricity Board transaction,-835.6
28-03-2026,Zomato,Food,Zomato transaction,-2227.23
10-03-2026,Zomato,Food,Zomato transaction,-1731.72
07-02-2026,Uber,Travel,Uber transaction,-1489.39
24-06-2026,Fuel Station,Fuel,Fuel Station transaction,-1858.01
29-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-4717.35
05-04-2026,Fuel Station,Fuel,Fuel Station transaction,-3450.32
23-01-2026,Amazon,Shopping,Amazon transaction,-3238.19
20-03-2026,Swiggy,Food,Swiggy transaction,-4357.77
27-03-2026,Pharmacy,Healthcare,Pharmacy transaction,-101.33
27-04-2026,Uber,Travel,Uber transaction,-2289.64
20-04-2026,Amazon,Shopping,Amazon transaction,-737.19
31-01-2026,Pharmacy,Healthcare,Pharmacy transaction,-4532.9
01-04-2026,Zomato,Food,Zomato transaction,-4527.01
17-05-2026,Flipkart,Shopping,Flipkart transaction,-915.14
13-02-2026,Swiggy,Food,Swiggy transaction,-4719.42
19-05-2026,Salary,Income,Salary transaction,49748
02-03-2026,Flipkart,Shopping,Flipkart transaction,-4678.47
08-03-2026,Myntra,Shopping,Myntra transaction,-517.57
13-04-2026,Salary,Income,Salary transaction,38605
09-04-2026,Myntra,Shopping,Myntra transaction,-4923.18
25-05-2026,Flipkart,Shopping,Flipkart transaction,-1515.89
31-05-2026,Swiggy,Food,Swiggy transaction,-4201.29
09-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-1740.81
19-01-2026,Amazon,Shopping,Amazon transaction,-3263.87
17-05-2026,Fuel Station,Fuel,Fuel Station transaction,-1955.84
19-02-2026,Zomato,Food,Zomato transaction,-2619.96
01-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-1506.48
31-03-2026,Amazon,Shopping,Amazon transaction,-4863.28
05-06-2026,Electricity Board,Bills,Electricity Board transaction,-2313.48
20-04-2026,Pharmacy,Healthcare,Pharmacy transaction,-142.42
26-06-2026,Amazon,Shopping,Amazon transaction,-2351.43
08-03-2026,Reliance Fresh,Groceries,Reliance Fresh transaction,-1247.39
